NCTId,PD-L1,CUI
NCT01705184,NULL,
NCT00409006,NULL,
NCT00961415,NULL,
NCT01344824,NULL,
NCT00932893,NULL,
NCT00308750,NULL,
NCT00950365,NULL,
NCT02409342,PD-L1_Positive,C4284303
NCT00609518,NULL,
NCT01042288,NULL,
NCT00898820,NULL,
NCT02578680,PD-L1_Negative,C4054670
NCT02578680,PD-L1_Positive,C4284303
NCT00343720,NULL,
NCT03950674,PD-L1_Negative,C4054670
NCT00418886,NULL,
NCT01783834,NULL,
NCT00316225,NULL,
NCT04012619,NULL,
NCT01664754,NULL,
NCT01017874,NULL,
NCT01639001,NULL,
NCT00330044,NULL,
NCT00087711,NULL,
NCT00402051,NULL,
NCT00506051,NULL,
NCT03256136,NULL,
NCT00071136,NULL,
NCT02309892,NULL,
NCT03101579,NULL,
NCT01005680,NULL,
NCT01531790,NULL,
NCT01004601,NULL,
NCT01194453,NULL,
NCT01829113,NULL,
NCT00887549,NULL,
NCT03526900,PD-L1_Positive,C4284303
NCT00768755,NULL,
NCT01631136,NULL,
NCT00940069,NULL,
NCT01193959,NULL,
NCT00349089,NULL,
NCT00994097,NULL,
NCT02337530,NULL,
NCT00684099,NULL,
NCT00227019,NULL,
NCT01666977,NULL,
NCT02535325,NULL,
NCT00190840,NULL,
NCT01469000,NULL,
NCT00227539,NULL,
NCT00456261,NULL,
NCT00540241,NULL,
NCT00892710,NULL,
NCT00408226,NULL,
NCT01664533,NULL,
NCT00061464,NULL,
NCT00489983,NULL,
NCT04843007,NULL,
NCT03655834,NULL,
NCT00051493,NULL,
NCT00103831,NULL,
NCT02182102,NULL,
NCT01154140,NULL,
NCT00614965,NULL,
NCT01565538,NULL,
NCT01185847,NULL,
NCT02211833,NULL,
NCT03607149,NULL,
NCT01336842,NULL,
NCT03664024,PD-L1_Positive,C4284303
NCT03663205,PD-L1_Negative,C4054670
NCT00317200,NULL,
NCT01588704,NULL,
NCT01443078,NULL,
NCT03472053,NULL,
NCT00556322,NULL,
NCT01296113,NULL,
NCT02964689,NULL,
NCT01263782,NULL,
NCT00447057,NULL,
NCT01708993,NULL,
NCT00251524,NULL,
NCT01160744,NULL,
NCT01102231,NULL,
NCT02639091,NULL,
NCT00284778,NULL,
NCT01544179,NULL,
NCT01781988,NULL,
NCT00095225,NULL,
NCT01395758,NULL,
NCT01004250,NULL,
NCT00051506,NULL,
NCT03607539,PD-L1_Positive,C4284303
NCT00835471,NULL,
NCT04507217,NULL,
NCT02439450,NULL,
NCT03537833,NULL,
NCT02603003,NULL,
NCT01958372,NULL,
NCT02900742,NULL,
NCT01059552,NULL,
NCT00577707,NULL,
NCT03380871,PD-L1_Negative,C4054670
NCT00317200,PD-L1_Positive,C4284303
NCT03513666,NULL,
NCT00703976,NULL,
NCT00743379,NULL,
NCT00619424,NULL,
NCT03134872,NULL,
NCT02864251,NULL,
NCT01351415,NULL,
NCT01257139,NULL,
NCT02679443,NULL,
NCT00034606,NULL,
NCT00824408,NULL,
NCT01063283,NULL,
NCT00560573,PD-L1_Negative,C4054670
NCT01769066,NULL,
NCT05908799,NULL,
NCT00806819,NULL,
NCT01809210,NULL,
NCT02498860,NULL,
NCT04452214,NULL,
NCT01454934,NULL,
NCT02347917,NULL,
NCT03544814,NULL,
NCT00528619,NULL,
NCT02049060,NULL,
NCT01982955,NULL,
NCT03083808,NULL,
NCT02129699,NULL,
NCT02120807,NULL,
NCT00315861,NULL,
NCT02723578,NULL,
NCT01590160,NULL,
NCT03507244,NULL,
NCT02079636,NULL,
NCT01172028,NULL,
NCT00916630,NULL,
NCT01719536,NULL,
NCT01490437,NULL,
NCT02148380,NULL,
NCT01003964,NULL,
NCT01655225,NULL,
NCT03562871,NULL,
NCT00860015,NULL,
NCT00775385,NULL,
NCT01067794,NULL,
NCT03353675,NULL,
NCT02045446,NULL,
NCT03304093,NULL,
NCT00703638,NULL,
NCT02980991,NULL,
NCT01951586,NULL,
NCT00005636,NULL,
NCT02308020,NULL,
NCT03922997,PD-L1_Positive,C4284303
NCT02848651,PD-L1_Positive,C4284303
NCT02008227,PD-L1_Positive,C4284303
NCT02031458,PD-L1_Positive,C4284303
NCT01903993,PD-L1_Positive,C4284303
NCT04636762,PD-L1_Positive,C4284303
NCT03014648,PD-L1_Positive,C4284303
NCT03559647,PD-L1_Positive,C4284303
NCT01846416,PD-L1_Positive,C4284303
NCT02994576,PD-L1_Positive,C4284303
NCT03801304,PD-L1_Positive,C4284303
NCT02763579,PD-L1_Negative,C4054670
NCT03438318,NULL,
NCT05055999,NULL,
NCT05055908,NULL,
NCT05055947,NULL,
NCT04028050,PD-L1_Negative,C4054670
NCT03023423,PD-L1_Negative,C4054670
NCT02463994,PD-L1_Positive,C4284303
NCT04059887,PD-L1_Negative,C4054670
NCT03645330,PD-L1_Positive,C4284303
NCT04426825,PD-L1_Positive,C4284303
NCT03059667,NULL,
NCT03285763,PD-L1_Positive,C4284303
NCT04920981,PD-L1_Negative,C4054670
NCT00317200,PD-L1_Positive,C4284303
NCT02813785,PD-L1_Positive,C4284303
NCT06049966,PD-L1_Positive,C4284303
NCT03321695,PD-L1_Positive,C4284303
NCT03790397,NULL,
NCT03911219,PD-L1_Positive,C4284303
NCT02825940,NULL,
NCT02666105,NULL,
NCT02174172,NULL,
NCT03526887,NULL,
NCT03232593,PD-L1_Negative,C4054670
NCT03926260,NULL,
NCT03035890,NULL,
NCT02523469,NULL,
NCT02876510,NULL,
NCT02403271,NULL,
NCT02054052,NULL,
NCT00217282,NULL,
NCT00698516,NULL,
NCT00193375,NULL,
NCT02803203,NULL,
NCT00930891,NULL,
NCT00741195,NULL,
NCT00755170,NULL,
NCT00403403,NULL,
NCT00356122,NULL,
NCT00541099,NULL,
NCT00451906,NULL,
NCT00675597,NULL,
NCT00323869,NULL,
NCT00970684,NULL,
NCT01562028,NULL,
NCT00425646,NULL,
NCT00309998,NULL,
NCT00118235,NULL,
NCT00387699,NULL,
NCT00365547,NULL,
NCT00367601,NULL,
NCT00445848,NULL,
NCT00079040,NULL,
NCT00130780,NULL,
NCT04345146,NULL,
NCT01661790,NULL,
NCT00354549,NULL,
NCT02959749,NULL,
NCT02596958,NULL,
NCT00130728,NULL,
NCT00661778,NULL,
NCT00553800,NULL,
NCT00741988,NULL,
NCT01934465,NULL,
NCT01047059,NULL,
NCT00308529,NULL,
NCT00633529,NULL,
NCT01262820,NULL,
NCT00773188,NULL,
NCT00257608,NULL,
NCT02316327,NULL,
NCT03170284,NULL,
NCT01995188,NULL,
NCT00250978,NULL,
NCT01532089,NULL,
NCT04257864,NULL,
NCT00294931,NULL,
NCT01077713,NULL,
NCT01137968,NULL,
NCT00621049,NULL,
NCT01333007,NULL,
NCT00436332,NULL,
NCT00585377,NULL,
NCT00400803,NULL,
NCT00620971,NULL,
