NCTId,Histology,CUI
NCT01951157,Non Small Cell Lung Cancer,C0007131
NCT00293085,NULL,
NCT00441922,Non Small Cell Lung Cancer,C0007131
NCT01083589,Non Small Cell Lung Cancer,C0007131
NCT00026156,Non Small Cell Lung Cancer,C0007131
NCT00193323,NULL,
NCT00840125,Non Small Cell Lung Cancer,C0007131
NCT02450539,Squamous cell carcinoma,C0349656
NCT00630110,Non Small Cell Lung Cancer,C0007131
NCT00362882,Non Small Cell Lung Cancer,C0007131
NCT00310154,Non Small Cell Lung Cancer,C0007131
NCT00065182,Non Small Cell Lung Cancer,C0007131
NCT00425191,Non-small Cell Lung Cancer,C0007131
NCT00040885,Non Small Cell Lung Cancer,C0007131
NCT00074022,Adenocarcinoma,C0001418
NCT00074022,Squamous cell carcinoma,C0349656
NCT00074022,Prostate Cancer,C0600139
NCT00074022,Non Small Cell Lung Cancer,C0007131
NCT04144582,Non-small Cell Lung Cancer,C0007131
NCT01671332,NULL,
NCT00073385,Non Small Cell Lung Cancer,C0007131
NCT00066768,Non Small Cell Lung Cancer,C0007131
NCT00076388,Adenocarcinoma,C0001418
NCT00076388,Squamous cell carcinoma,C0349656
NCT00076388,Carcinoma,C0007097
NCT01999673,Non-small cell lung cancer,C0007131
NCT00876460,Non-small cell lung cancer,C0007131
NCT03371550,NULL,
NCT02864394,Non Small Cell Lung Cancer,C0007131
NCT02574598,Non Small Cell Lung Cancer,C0007131
NCT00931008,NULL,
NCT00441740,Non Small Cell Lung Cancer,C0007131
NCT00191139,Non Small Cell Lung Cancer,C0007131
NCT01673867,NULL,
NCT02395172,Non Small Cell Lung Cancer,C0007131
NCT01652469,Adenocarcinoma,C0001418
NCT01577654,Non Small Cell Lung Cancer,C0007131
NCT00118183,Non Small Cell Lung Cancer,C0007131
NCT00077311,Non Small Cell Lung Cancer,C0007131
NCT02179671,Non Small Cell Lung Cancer,C0007131
NCT00102505,Non Small Cell Lung Cancer,C0007131
NCT02300298,Adenocarcinoma,C0001418
NCT00418704,Non Small Cell Lung Cancer,C0007131
NCT03449901,Soft Tissue Sarcoma,C4551687
NCT03449901,Osteosarcoma,C0029463
NCT03449901,Ewings Sarcoma,C0553580
NCT03449901,Small Cell Lung Cancer,C0149925
NCT00819728,Non-small Cell Lung Cancer,C0007131
NCT01605916,Non Small Cell Lung Cancer,C0007131
NCT03647488,Non-small Cell Lung Cancer,C0007131
NCT01207011,Non small Cell Lung Cancer,C0007131
NCT00003037,Non small Cell Lung Cancer,C0007131
NCT00139711,Non Small Cell Lung Cancer,C0007131
NCT00771563,Non Small Cell Lung Cancer,C0007131
NCT00050674,Non Small Cell Lung Carcinoma,C0007131
NCT00132379,Non small Cell Lung Cancer,C0007131
NCT00327288,Adenocarcinoma,C0001418
NCT00073866,NULL,
NCT00047801,Non Small Cell Lung Cancer,C0007131
NCT01222312,Non Small Cell Lung Cancer,C0007131
NCT00890825,NULL,
NCT00097851,Non Small Cell Lung Cancer,C0007131
NCT02504489,NULL,
NCT00051974,NULL,
NCT01059188,Non-Small Cell Lung Cancer,C0007131
NCT00059943,Adenocarcinoma,C0001418
NCT00059943,Squamous cell carcinoma,C0349656
NCT00059943,Carcinoma,C0007097
NCT00059943,Large Cell,C0334248
NCT00059943,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00059943,Carcinoid Tumor,C0007095
NCT00059943,Adenosquamous carcinoma,C0206623
NCT00059943,spindle cell,C0349656
NCT00712504,Adenocarcinoma,C0001418
NCT00712504,NULL,
NCT00805194,Non Small Cell Lung Cancer,C0007131
NCT00085826,Non Small Cell Lung Cancer,C0007131
NCT01204697,Non Small Cell Lung Cancer,C0007131
NCT00326378,Non small Cell Lung Cancer,C0007131
NCT01792479,Non Small Cell Lung Cancer,C0007131
NCT00066885,Non Small Cell Lung Cancer,C0007131
NCT03150875,NULL,
NCT01557959,Non Small Cell Lung Cancer,C0007131
NCT00049998,NULL,
NCT00174772,Non Small Cell Lung Cancer,C0007131
NCT00167401,Non Small Cell Lung Cancer,C0007131
NCT00252707,NULL,
NCT00086333,Non Small Cell Lung Carcinoma,C0007131
NCT02965378,Squamous cell carcinoma,C0349656
NCT02785939,Squamous cell carcinoma,C0349656
NCT00174629,Non Small Cell Lung Cancer,C0007131
NCT00319514,NULL,
NCT00424853,Non-small cell Lung Cancer,C0007131
NCT00191490,Non Small Cell Lung Cancer,C0007131
NCT00256789,NULL,
NCT02364804,Non-small Cell Lung Cancer,C0007131
NCT00478049,Non-Small Cell Lung Carcinoma,C0007131
NCT01038661,NULL,
NCT02577341,Squamous cell carcinoma,C0349656
NCT00945451,Non Small Cell Lung Cancer,C0007131
NCT02766335,Squamous cell carcinoma,C0349656
NCT01497925,Non Small Cell Lung Cancer,C0007131
NCT01497925,Prostate Cancer,C0600139
NCT00051571,Non small Cell Lung Carcinoma,C0007131
NCT00047840,Non-small Cell Lung Cancer,C0007131
NCT00673738,Non Small Cell Lung Cancer,C0007131
NCT00963807,Non-Small Cell Lung Cancer,C0007131
NCT00020709,Non Small Cell Lung Cancer,C0007131
NCT00850785,Non Small Cell Lung Cancer,C0007131
NCT00622349,Non-small Cell Lung Cancer,C0007131
NCT02972216,NULL,
NCT00003231,Non-small Cell Lung Cancer,C0007131
NCT03547804,Small Cell Lung Cancer,C0149925
NCT00062270,NULL,
NCT00406302,Non-small cell lung cancer,C0007131
NCT00072618,Non Small Cell Lung Cancer,C0007131
NCT01240447,Non small Cell Lung Cancer,C0007131
NCT00432315,Non Small Cell Lung Cancer,C0007131
NCT00478699,NULL,
NCT01204099,NULL,
NCT03017885,Non-small Cell Lung Cancer,C0007131
NCT02088515,Squamous cell carcinoma,C0349656
NCT00030810,NULL,
NCT00682383,Non small Cell Lung Cancer,C0007131
NCT00295672,NULL,
NCT00985855,Non Small Cell Lung Cancer,C0007131
NCT05553808,Non-small Cell Lung Cancer,C0007131
NCT00069160,NULL,
NCT00883480,Adenocarcinoma,C0001418
NCT01561456,Adenocarcinoma,C0001418
NCT01561456,Squamous cell carcinoma,C0349656
NCT02573506,NULL,
NCT00003565,NULL,
NCT01614002,NULL,
NCT00002901,NULL,
NCT01015963,NULL,
NCT03900117,Non-Small Cell Lung Cancer,C0007131
NCT02740985,NULL,
NCT00092001,Non Small Cell Lung Cancer,C0007131
NCT00880334,NULL,
NCT00183794,Carcinoma,C0007097
NCT00067548,NULL,
NCT00183872,Adenocarcinoma,C0001418
NCT00533533,Adenocarcinoma,C0001418
NCT00183742,NULL,
NCT00257348,NULL,
NCT01780181,Lung Cancer,C0242379
NCT04345900,NULL,
NCT03102606,NULL,
NCT05137067,NULL,
NCT00471432,NULL,
NCT02154490,Squamous cell carcinoma,C0349656
NCT00509457,Non-small Cell Lung Cancer,C0007131
NCT01852578,NULL,
NCT00120939,NULL,
NCT00014456,NULL,
NCT00080041,NULL,
NCT03659578,NULL,
NCT00049296,NULL,
NCT03358563,NULL,
NCT04713462,Non-Small Cell Lung Carcinoma,C0007131
NCT00003103,NULL,
NCT00096707,NULL,
NCT02671422,Non-Small Cell Lung Cancer,C0007131
NCT02595450,Non-small Cell Lung Cancer,C0007131
NCT01101334,Non-small Cell Lung Cancer,C0007131
NCT00462995,NULL,
NCT00547105,Non Small Cell Lung Cancer,C0007131
NCT00416650,Non Small Cell Lung Cancer,C0007131
NCT00275132,Non Small Cell Lung Cancer,C0007131
NCT01967095,NULL,
NCT00370383,Non small cell Lung Cancer,C0007131
NCT01211483,Non small Cell Lung Cancer,C0007131
NCT00702182,Non Small Cell Lung Cancer,C0007131
NCT00854308,Non Small Cell Lung Cancer,C0007131
NCT00590902,Adenocarcinoma,C0001418
NCT00826449,Non Small Cell Lung Cancer,C0007131
NCT00408499,Non Small Cell Lung Cancer,C0007131
NCT00283244,NULL,
NCT00391248,Non-small Cell Lung Cancer,C0007131
NCT00137800,Lung Cancer,C0242379
NCT01667562,Non Small Cell Lung Cancer,C0007131
NCT00100854,Non Small Cell Lung Cancer,C0007131
NCT02424617,Non Small Cell Lung Cancer,C0007131
NCT01487265,Non Small Cell Lung Cancer,C0007131
NCT01911507,Non-small Cell Lung Cancer,C0007131
NCT00855894,Non-small Cell Lung Cancer,C0007131
NCT00072631,Non Small Cell Lung Cancer,C0007131
NCT01230710,Non-small Cell Lung Cancer,C0007131
NCT01027598,Adenocarcinoma,C0001418
NCT01027598,Squamous cell carcinoma,C0349656
NCT01027598,large cell,C0334248
NCT00453362,Non Small Cell Lung Cancer,C0007131
NCT01342965,Non small Cell Lung Cancer,C0007131
NCT01260181,Non Small Cell Lung Cancer,C0007131
NCT00602433,Non Small Cell Lung Cancer,C0007131
NCT00777309,Non Small Cell Lung Cancer,C0007131
NCT00085280,Non Small Cell Lung Cancer,C0007131
NCT02013206,Non Small Cell Lung Cancer,C0007131
NCT01287754,Non small Cell Lung Cancer,C0007131
NCT00452413,NULL,
NCT01069757,NULL,
NCT00536861,Non Small Cell Lung Cancer,C0007131
NCT00871923,Non Small Cell Lung Cancer,C0007131
NCT01456325,Non Small Cell Lung Cancer,C0007131
NCT01836133,Adenocarcinoma,C0001418
NCT01866410,Non Small Cell Lung Cancer,C0007131
NCT00411632,Non Small Cell Lung Cancer,C0007131
NCT00585533,Non Small Cell Lung Cancer,C0007131
NCT01302808,Non Small Cell Lung Cancer,C0007131
NCT00701558,Non Small Cell Lung Cancer,C0007131
NCT00997334,Non-Small Cell Lung Carcinoma,C0007131
NCT00609804,Non Small Cell Lung Cancer,C0007131
NCT01104155,Non Small Cell Lung Cancer,C0007131
NCT00816868,Adenocarcinoma,C0001418
NCT00778167,Non Small Cell Lung Cancer,C0007131
NCT00125372,NULL,
NCT00088959,Non Small Cell Lung Cancer,C0007131
NCT00600015,Adenocarcinoma,C0001418
NCT00600015,Squamous cell carcinoma,C0349656
NCT00600015,Large Cell,C0334248
NCT00600015,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT01199068,Non-small Cell Lung Cancer,C0007131
NCT00373425,Non Small Cell Lung Carcinoma,C0007131
NCT00062101,Non Small Cell Lung Cancer,C0007131
NCT01378962,Non Small Cell Lung Cancer,C0007131
NCT00949910,Non Small Cell Lung Cancer,C0007131
NCT00072072,Non Small Cell Lung Cancer,C0007131
NCT00349219,Non Small Cell Lung Cancer,C0007131
NCT00673569,Non Small Cell Lung Cancer,C0007131
NCT00596648,Non Small Cell Lung Cancer,C0007131
NCT01839955,Non Small Cell Lung Cancer,C0007131
NCT01545947,Non Small Cell Lung Cancer,C0007131
NCT00581789,Adenocarcinoma,C0001418
NCT00444015,Non small Cell Lung Cancer,C0007131
NCT01378598,Non Small Cell Lung Cancer,C0007131
NCT01068587,NULL,
NCT00125359,NULL,
NCT01887886,Non Small Cell Lung Cancer,C0007131
NCT02133508,NULL,
NCT01229150,Non-Small Cell Lung Cancer,C0007131
NCT00518011,Non Small Cell Lung Cancer,C0007131
NCT01196078,Non Small Cell Lung Cancer,C0007131
NCT00265317,Non Small Cell Lung Cancer,C0007131
NCT01522833,Non-Small Cell Lung Carcinoma,C0007131
NCT01161173,Non-small Cell Lung Cancer,C0007131
NCT00364351,Non-Small Cell Lung Cancer,C0007131
NCT00888511,Non small Cell Lung Cancer,C0007131
NCT00419042,Non Small Cell Lung Cancer,C0007131
NCT00091663,Non Small Cell Lung Cancer,C0007131
NCT02031744,Non Small Cell Lung Cancer,C0007131
NCT00200395,NULL,
NCT01328951,Non Small Cell Lung Cancer,C0007131
NCT01250119,Non Small Cell Lung Cancer,C0007131
NCT00499655,Non Small Cell Lung Cancer,C0007131
NCT00983307,Non Small Cell Lung Cancer,C0007131
NCT02507375,Non Small Cell Lung Cancer,C0007131
NCT00994123,NULL,
NCT01310036,Adenocarcinoma,C0001418
NCT01294306,Non Small Cell Lung Cancer,C0007131
NCT00087412,Non Small Cell Lung Cancer,C0007131
NCT01859026,Non-Small Cell Lung Cancer,C0007131
NCT01153984,Adenocarcinoma,C0001418
NCT00567359,Non-Small Cell Lung Cancer,C0007131
NCT00456833,Non Small Cell Lung Cancer,C0007131
NCT01123460,Non Small Cell Lung Cancer,C0007131
NCT00652340,Non-small Cell Lung Cancer,C0007131
NCT01221077,Non-small Cell Lung Cancer,C0007131
NCT00654420,Non Small Cell Lung Cancer,C0007131
NCT00321815,Non Small Cell Lung Cancer,C0007131
NCT00473083,NULL,
NCT01183858,Non Small Cell Lung Cancer,C0007131
NCT01251796,NULL,
NCT00531934,Non Small Cell Lung Cancer,C0007131
NCT00570401,NULL,
NCT00457392,Non Small Cell Lung Cancer,C0007131
NCT00410059,Non-Small Cell Lung Cancer,C0007131
NCT01259089,Non Small Cell Lung Cancer,C0007131
NCT01996332,Non Small Cell Lung Cancer,C0007131
NCT00036647,Non Small Cell Lung Cancer,C0007131
NCT00230126,NULL,
NCT01130753,Non Small Cell Lung Cancer,C0007131
NCT01580735,Non-small cell lung cancer,C0007131
NCT00569114,Non-small Cell Lung Cancer,C0007131
NCT00717847,Non Small Cell Lung Cancer,C0007131
NCT01372384,Non Small Cell Cancer,
NCT00300586,Non-small Cell Lung Cancer,C0007131
NCT00294736,Non-small Cell Lung Cancer,C0007131
NCT00305617,Non Small Cell Lung Cancer,C0007131
NCT01174563,Non Small Cell Lung Cancer,C0007131
NCT01194050,Non Small Cell Lung Cancer,C0007131
NCT02000531,Non Small Cell Lung Cancer,C0007131
NCT01535729,Non Small Cell Lung Cancer,C0007131
NCT00385996,Non Small Cell Lung Cancer,C0007131
NCT02774278,Non Small Cell Lung Cancer,C0007131
NCT01488331,Non Small Cell Lung Cancer,C0007131
NCT00556712,Non Small Cell Lung Cancer,C0007131
NCT00615758,Non-Small Cell Lung Carcinoma,C0007131
NCT01233687,Non Small Cell Lung Cancer,C0007131
NCT01723878,Non Small Cell Lung Cancer,C0007131
NCT00897533,Non Small Cell Lung Cancer,C0007131
NCT00729742,Non Small Cell Lung Cancer,C0007131
NCT01721252,NULL,
NCT01951755,Non-small Cell Lung Cancer,C0007131
NCT01659970,Squamous cell carcinoma,C0349656
NCT01066884,Non Small Cell Lung Cancer,C0007131
NCT00063895,Non Small Cell Lung Cancer,C0007131
NCT00063895,Ovarian Cancer,C0919267
NCT00063895,Squamous Cell Carcinoma of the Head and Neck,C1168401
NCT01167244,Non Small Cell Lung Cancer,C0007131
NCT00777699,NULL,
NCT02155465,Adenocarcinoma,C0001418
NCT01887795,Non-small cell Lung Cancer,C0007131
NCT02450591,NULL,
NCT01024413,Non-Small Cell Lung Cancer,C0007131
NCT01594398,NULL,
NCT00397384,Adenocarcinoma,C0001418
NCT00397384,Squamous cell carcinoma,C0349656
NCT00397384,Non Small Cell Lung Cancer,C0007131
NCT00397384,NULL,
NCT00779389,NULL,
NCT01556191,NULL,
NCT01248247,Non Small Cell Lung Cancer,C0007131
NCT01790217,Non Small Cell Lung Cancer,C0007131
NCT02942095,NULL,
NCT00718315,NULL,
NCT00602030,Non-Small Cell Lung Cancer,C0007131
NCT01900652,Non Small Cell Lung Cancer,C0007131
NCT00642473,NULL,
NCT01609543,Adenocarcinoma,C0001418
NCT00975182,NULL,
NCT00692640,NULL,
NCT00732810,Adenocarcinoma,C0001418
NCT00732810,Squamous cell carcinoma,C0349656
NCT00732810,Carcinoma,C0007097
NCT00732810,Large Cell,C0334248
NCT00732810,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00732810,Carcinoid Tumor,C0007095
NCT00732810,Adenosquamous carcinoma,C0206623
NCT00732810,spindle cell,C0349656
NCT01573702,NULL,
NCT01512420,Non Small Cell Lung Cancer,C0007131
NCT00522145,Non-Small Cell Lung Carcinoma,C0007131
NCT00966472,Squamous cell carcinoma,C0349656
NCT00966472,NSCLC,C0007131
NCT00137839,Adenocarcinoma,C0001418
NCT00738751,NULL,
NCT01416688,NULL,
NCT00716456,Adenocarcinoma,C0001418
NCT01402089,NULL,
NCT01217619,Non-Small Cell Lung Cancer,C0007131
NCT00743938,Non-Small Cell Lung Cancer,C0007131
NCT01523340,NULL,
NCT01593995,NULL,
NCT03653546,Adenocarcinoma,C0001418
NCT01186861,NULL,
NCT03595644,Non small Cell Lung Cancer,C0007131
NCT00284141,Adenocarcinoma,C0001418
NCT04145570,NULL,
NCT00266877,NULL,
NCT01610336,Non-Small Cell Lung Cancer,C0007131
NCT01023828,Non Small Cell Lung Cancer,C0007131
NCT02157883,NULL,
NCT00977548,NULL,
NCT03076164,Adenocarcinoma,C0001418
NCT00579683,Non Small Cell Lung Cancer,C0007131
NCT00910676,NULL,
NCT02759835,Non Small Cell Lung Cancer,C0007131
NCT00955149,NULL,
NCT01570296,Non Small Cell Lung Cancer,C0007131
NCT01514877,Non Small Cell Lung Cancer,C0007131
NCT00124280,NULL,
NCT05934461,Adenocarcinoma,C0001418
NCT01287546,NULL,
NCT00030498,NULL,
NCT02043002,Non-Small Cell Lung Cancer,C0007131
NCT02889692,Adenocarcinoma,C0001418
NCT02293733,Non Small Cell Lung Cancer,C0007131
NCT01854034,NULL,
NCT00039182,NULL,
NCT00739453,NULL,
NCT02040064,Adenocarcinoma,C0001418
NCT00374140,NULL,
NCT00096486,Non Small Cell Lung Cancer,C0007131
NCT01427946,NULL,
NCT01563354,Neuroendocrine Tumor,
NCT00933777,NULL,
NCT00955773,NULL,
NCT00401778,Non Small Cell Lung Cancer,C0007131
NCT01470209,NULL,
NCT01061788,NULL,
NCT02890069,NULL,
NCT01349296,NULL,
NCT00655655,NULL,
NCT01978171,NULL,
NCT00770120,NULL,
NCT01524783,NULL,
NCT05255133,NULL,
NCT01324492,Neuroendocrine Tumor,
NCT01024946,NULL,
NCT00372515,Carcinoma,C0007097
NCT00173875,Non Small Cell Lung Cancer,C0007131
NCT02804776,NULL,
NCT00452244,NULL,
NCT00411047,Non Small Cell Lung Cancer,C0007131
NCT00068653,Non Small Cell Lung Cancer,C0007131
NCT01513174,NULL,
NCT01037998,Non-small cell lung cancer,C0007131
NCT00217698,Non Small Cell Lung Cancer,C0007131
NCT00068497,Adenocarcinoma,C0001418
NCT00068497,Squamous cell carcinoma,C0349656
NCT00068497,carcinoma,C0007097
NCT00068497,Large Cell,C0334248
NCT00068497,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT03157310,NULL,
NCT00193336,Non Small Cell Lung Cancer,C0007131
NCT01498562,Non-small Cell Lung Cancer,C0007131
NCT00328562,Non Small Cell Lung Cancer,C0007131
NCT00255489,Non-small cell lung cancer,C0007131
NCT00188617,NULL,
NCT00162318,Non Small Cell Lung Cancer,C0007131
NCT00049543,Non small Cell Lung Cancer,C0007131
NCT00103051,NULL,
NCT01130961,Non Small Cell Lung Cancer,C0007131
NCT00298688,Small Cell Lung Cancer,C0149925
NCT00144066,Non Small Cell Lung Cancer,C0007131
NCT01039948,Non Small Cell Lung Cancer,C0007131
NCT00080340,Non Small Cell Lung Cancer,C0007131
NCT00238251,NULL,
NCT02976116,Non-small Cell Lung Cancer,C0007131
NCT02088112,Non Small Cell Lung Cancer,C0007131
NCT00029003,Non Small Cell Lung Cancer,C0007131
NCT01040780,Non small Cell Lung Cancer,C0007131
NCT01530334,Non-Small Cell Lung Cancer,C0007131
NCT00824746,Non Small Cell Lung Cancer,C0007131
NCT00238628,Non Small Cell Lung Cancer,C0007131
NCT02374645,Non-Small Cell Lung Cancer,C0007131
NCT00588445,NULL,
NCT02025114,Non-Small Cell Lung Cancer,C0007131
NCT00034879,NULL,
NCT00357734,NULL,
NCT00256711,NULL,
NCT01017679,Non-small cell lung cancer,C0007131
NCT01818947,NULL,
NCT02740894,Non-small Cell Lung Cancer,C0007131
NCT01864681,NULL,
NCT01203917,Adenocarcinoma,C0001418
NCT00333294,Non-Small Cell Lung Cancer,C0007131
NCT00807066,NULL,
NCT01000740,NULL,
NCT00455936,Adenocarcinoma,C0001418
NCT01448187,NULL,
NCT01933347,NULL,
NCT01833572,NULL,
NCT00344773,Adenocarcinoma,C0001418
NCT00608868,Non-Small Cell Lung Cancer,C0007131
NCT00259064,Non-Small Cell Lung Cancer,C0007131
NCT01103089,NULL,
NCT00252759,NULL,
NCT00059722,Non-Small Cell Lung Carcinoma,C0007131
NCT00820417,NULL,
NCT00198380,Adenocarcinoma,C0001418
NCT00898924,NULL,
NCT00025207,NULL,
NCT02475720,Non small Cell Lung Cancer,C0007131
NCT00016367,Non Small Cell Lung Cancer,C0007131
NCT00191763,Non Small Cell Lung Cancer,C0007131
NCT01797913,Non small Cell Lung Cancer,C0007131
NCT00003202,Non-small Cell Lung Cancer,C0007131
NCT00192036,Non Small Cell Lung Cancer,C0007131
NCT00154739,NULL,
NCT01844791,Non Small Cell Lung Cancer,C0007131
NCT01788566,Squamous cell carcinoma,C0349656
NCT00064064,Non Small Cell Lung Cancer,C0007131
NCT00077350,Non Small Cell Lung Cancer,C0007131
NCT00055757,Non Small Cell Lung Cancer,C0007131
NCT00005093,Non-small Cell Lung Cancer,C0007131
NCT00112346,Non Small Cell Lung Cancer,C0007131
NCT00077415,Non Small Cell Lung Cancer,C0007131
NCT00753714,Non Small Cell Lung Cancer,C0007131
NCT01086254,Non-small Cell Lung Cancer,C0007131
NCT01633645,Non Small Cell Lung Cancer,C0007131
NCT00449033,NULL,
NCT01763788,Squamous cell carcinoma,C0349656
NCT00005972,NULL,
NCT00330746,Non Small cell Lung Cancer,
NCT00191620,Non Small Cell Lung Cancer,C0007131
NCT00489996,Lung Cancer,C0242379
NCT00305786,Non Small Cell Lung Cancer,C0007131
NCT00057798,Non Small Cell Lung Cancer,C0007131
NCT00182806,Non Small Cell Lung Cancer,C0007131
NCT00735904,Squamous cell carcinoma,C0349656
NCT00401492,NULL,
NCT00496275,NULL,
NCT00069875,Non Small Cell Lung Cancer,C0007131
NCT00191126,NULL,
NCT00004199,Non small Cell Lung Cancer,C0007131
NCT00792701,Non Small Cell Lung Cancer,C0007131
NCT00283478,Non Small Cell Lung Cancer,C0007131
NCT00030433,Small Cell Lung Cancer,C0149925
NCT01810367,NULL,
NCT00034268,Non Small Cell Lung Cancer,C0007131
NCT00490659,Lung Cancer,C0242379
NCT01631357,Lung Cancer,C0242379
NCT00385606,NULL,
NCT00005850,Non Small Cell Lung Cancer,C0007131
NCT00193921,NULL,
NCT00678977,NULL,
NCT00191841,Adenocarcinoma,C0001418
NCT00191841,Squamous cell carcinoma,C0349656
NCT00191841,large cell,C0334248
NCT00842712,Non Small Cell Lung Cancer,C0007131
NCT03629925,Squamous cell carcinoma,C0349656
NCT00271271,Non-Small Cell Lung Cancer,C0007131
NCT02449122,Carcinoma,C0007097
NCT01243632,NULL,
NCT00003744,NULL,
NCT00004095,NULL,
NCT00620295,NULL,
NCT01324258,NULL,
NCT00733850,Adenocarcinoma,C0001418
NCT00350961,NULL,
NCT00415818,Non Small Cell Lung Cancer,C0007131
NCT00522886,NULL,
NCT00019513,NULL,
NCT04487457,NULL,
NCT00148395,Non Small Cell Lung Cancer,C0007131
NCT00343408,Non Small Cell Lung Cancer,C0007131
NCT01606748,Adenocarcinoma,C0001418
NCT02991482,NULL,
NCT00003723,NULL,
NCT00017186,NULL,
NCT01352962,Adenocarcinoma,C0001418
NCT02797977,NULL,
NCT02240238,Non Small Cell Lung,C0007131
NCT02240238,Biliary,
NCT02240238,Bladder Cancer,
NCT03102320,NULL,
NCT01325558,NULL,
NCT01737502,Non Small Cell Lung Cancer,C0007131
NCT01737502,Small Cell Lung Cancer,C0149925
NCT00068549,Carcinoma,C0007097
NCT03693300,Non Small Cell Lung Cancer,C0007131
NCT05933044,Non Small Cell Lung Cancer,C0007131
NCT04667312,Non small cell Lung Cancer,C0007131
NCT03373760,Adenocarcinoma,C0001418
NCT03373760,Squamous cell carcinoma,C0349656
NCT03373760,Large Cell,C0334248
NCT03373760,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT02898116,NULL,
NCT03818776,NULL,
NCT02879617,Non small Cell Lung Cancer,C0007131
NCT03853187,NULL,
NCT02701400,Small Cell Lung Cancer,C0149925
NCT02904954,Non-small Cell Lung Cancer,C0007131
NCT03794544,Non Small Cell Lung Cancer,C0007131
NCT02000947,Non-small Cell Lung Cancer,C0007131
NCT03085849,SCLC,C0149925
NCT04285866,NULL,
NCT03164772,NULL,
NCT02454933,Non-Small Cell Lung Cancer,C0007131
NCT04884269,Non-Small Cell Lung Cancer,C0007131
NCT04854590,Small Cell Lung Cancer,C0149925
NCT03095274,NULL,
NCT03643484,Non-Small Cell Lung Cancer,C0007131
NCT03094286,NULL,
NCT03732664,Non Small Cell Lung Cancer,C0007131
NCT05792995,NULL,
NCT04545658,NULL,
NCT02318277,NULL,
NCT02658214,NULL,
NCT02586987,NULL,
NCT01693562,NULL,
NCT03217071,Non Small Cell Lung Cancer,C0007131
NCT05226728,Lung Cancer,C0242379
NCT03322540,Non Small Cell Lung Cancer,C0007131
NCT02007070,Non-small Cell Lung Cancer,C0007131
NCT02835690,Non Small Cell Lung Cancer,C0007131
NCT02879994,Non Small Cell Lung Cancer,C0007131
NCT02879760,Non Small Cell Lung Cancer,C0007131
NCT02575404,Non small Cell Lung Cancer,C0007131
NCT02575404,Squamous Cell Head and Neck Cancer,C1168401
NCT03371979,NULL,
NCT03197467,NULL,
NCT02840994,Non Small Cell Lung Cancer,C0007131
NCT02760225,NULL,
NCT02451930,NULL,
NCT03302234,Non Small Cell Lung Cancer,C0007131
NCT02359019,NULL,
NCT03307759,Non Small Cell Lung Carcinoma,C0007131
NCT02437136,Adenocarcinoma,C0001418
NCT02437136,Squamous cell carcinoma,C0349656
NCT02437136,Carcinoma,C0007097
NCT02437136,Large Cell,C0334248
NCT02437136,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT02437136,Carcinoid Tumor,C0007095
NCT02437136,Adenosquamous carcinoma,C0206623
NCT02437136,spindle cell,C0349656
NCT02448303,Non-small Cell Lung Cancer,C0007131
NCT02085070,Adenocarcinoma,C0001418
NCT02085070,Squamous cell carcinoma,C0349656
NCT02085070,carcinoma,C0007097
NCT02085070,Large Cell,C0334248
NCT02085070,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT02085070,Carcinoid Tumor,C0007095
NCT02085070,Adenosquamous carcinoma,C0206623
NCT02085070,spindle cell,C0349656
NCT01295827,Carcinoma,C0007097
NCT01295827,Melanoma,C0025202
NCT01295827,Non small Cell Lung Carcinoma,C0007131
NCT02492568,NULL,
NCT05023837,Non small Cell Lung Cancer,C0007131
NCT02475213,NULL,
NCT05740501,NULL,
NCT03308942,Non Small Cell Lung Cancer,C0007131
NCT02343952,NULL,
NCT03224871,NULL,
NCT04793815,Lung Cancer,C0242379
NCT03473925,NULL,
NCT04076228,NULL,
NCT02501096,NULL,
NCT02646748,NULL,
NCT02563548,NULL,
NCT02043665,Non-Small Cell Lung Cancer,C0007131
NCT02043665,Bladder Cancer,
NCT03948763,NULL,
NCT02713529,NULL,
NCT05321212,NULL,
NCT03825510,NULL,
NCT03006887,NULL,
NCT03184571,Non-Small Cell Lung Cancer,C0007131
NCT04879316,NULL,
NCT02939651,NULL,
NCT02509507,NULL,
NCT03426891,NULL,
NCT03775850,Colorectal Cancer,C0009402
NCT03775850,Breast Cancer,C0006142
NCT03775850,NULL,
NCT02938624,Non-Small Cell Lung Cancer,C0007131
NCT02122861,NULL,
NCT03849469,NULL,
NCT05059951,Non-Small Cell Lung Carcinoma,C0007131
NCT03329950,NULL,
NCT05711914,NULL,
NCT03229278,NULL,
NCT04383938,NULL,
NCT04037462,NULL,
NCT03861793,NULL,
NCT02909452,NULL,
NCT03633110,NULL,
NCT05129462,NULL,
NCT03140137,NULL,
NCT02528357,NULL,
NCT02178722,NULL,
NCT02903914,NULL,
NCT04148937,NULL,
NCT03085914,Adenocarcinoma,C0001418
