NCTId,Histology,CUI
NCT03607149,NULL,
NCT01336842,NULL,
NCT03664024,Non Small Cell Lung Cancer,C0007131
NCT03663205,Non-Squamous NSCLC,C4324656
NCT01588704,Adenocarcinoma,C0001418
NCT01443078,Non small Cell Lung Cancer,C0007131
NCT03472053,Non Small Cell Lung Cancer,C0007131
NCT00556322,Non Small Cell Lung Cancer,C0007131
NCT01296113,NULL,
NCT02964689,NULL,
NCT01263782,Non Small Cell Lung Cancer,C0007131
NCT00447057,Non Small Cell Lung Cancer,C0007131
NCT01708993,Non Small Cell Lung Cancer,C0007131
NCT00251524,Non-Squamous NSCLC,C4324656
NCT01160744,Non Small Cell Lung Cancer,C0007131
NCT01102231,Non small Cell Lung Cancer,C0007131
NCT02639091,Adenocarcinoma,C0001418
NCT00284778,NULL,
NCT01544179,NULL,
NCT01781988,NULL,
NCT00095225,Adenocarcinoma,C0001418
NCT00095225,Squamous cell carcinoma,C0349656
NCT00095225,large cell,C0334248
NCT00095225,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00095225,Carcinoid Tumor,C0007095
NCT00095225,Adenosquamous carcinoma,C0206623
NCT00095225,spindle cell,C0349656
NCT01395758,Non Small Cell Lung Cancer,C0007131
NCT01004250,Non Small Cell Cancer,
NCT00051506,Small Cell Lung Cancer,C0149925
NCT03607539,Non squamous NSCLC,C4324656
NCT00835471,Non Small Cell Lung Cancer,C0007131
NCT04507217,Non squamous NSCLC,C4324656
NCT02439450,Non Small Cell Lung Cancer,C0007131
NCT03537833,NULL,
NCT02603003,Non-Small Cell Lung Carcinoma,C0007131
NCT01958372,Non Small Cell Lung Cancer,C0007131
NCT02900742,Non Small Cell Lung Cancer,C0007131
NCT01059552,Non Small Cell Lung Cancer,C0007131
NCT00577707,Non-Small Cell Lung Cancer,C0007131
NCT03380871,Adenocarcinoma,C0001418
NCT03380871,Squamous cell carcinoma,C0349656
NCT03380871,Large Cell,C0334248
NCT03380871,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT03380871,Carcinoid Tumor,C0007095
NCT03380871,Adenosquamous carcinoma,C0206623
NCT03380871,spindle cell,C0349656
NCT03513666,NULL,
NCT00703976,Squamous cell carcinoma,C0349656
NCT00743379,NULL,
NCT00619424,NULL,
NCT03134872,Non-squamous NSCLC,C4324656
NCT02864251,Non Small Cell Lung Cancer,C0007131
NCT01351415,Non-small Cell Lung Cancer,C0007131
NCT01257139,Non Small cell Lung Cancer,
NCT02679443,Non-Small Cell Lung Cancer,C0007131
NCT00034606,NULL,
NCT00824408,NULL,
NCT01063283,Non squamous NSCLC,C4324656
NCT00560573,NULL,
NCT01769066,NULL,
NCT05908799,NULL,
NCT00806819,Adenocarcinoma,C0001418
NCT01809210,Non-small Cell Lung Cancer,C0007131
NCT02498860,Adenocarcinoma,C0001418
NCT04452214,NULL,
NCT01454934,NULL,
NCT02347917,NULL,
NCT03544814,NULL,
NCT00528619,NULL,
NCT02049060,NULL,
NCT01982955,Non-Small Cell Lung Cancer,C0007131
NCT03083808,Non-Small Cell Lung Cancer,C0007131
NCT02129699,NULL,
NCT02120807,Adenocarcinoma,C0001418
NCT00315861,NULL,
NCT02723578,NULL,
NCT01590160,NULL,
NCT03507244,NULL,
NCT02079636,Non-Small Cell Lung Cancer,C0007131
NCT01172028,Adenocarcinoma,C0001418
NCT01172028,Squamous cell carcinoma,C0349656
NCT01172028,Carcinoma,C0007097
NCT01172028,carcinoma,C0007097
NCT01172028,Large Cell,C0334248
NCT01172028,large cell,C0334248
NCT01172028,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT01172028,Carcinoid Tumor,C0007095
NCT01172028,Adenosquamous carcinoma,C0206623
NCT01172028,spindle cell,C0349656
NCT00916630,NULL,
NCT01719536,Adenocarcinoma,C0001418
NCT01490437,Urothelial Carcinoma,C2145472
NCT02148380,NULL,
NCT01003964,Non-small Cell Lung Cancer,C0007131
NCT01655225,NULL,
NCT03562871,Non-Small Cell Lung Cancer,C0007131
NCT00860015,NULL,
NCT00775385,Non-Small Cell Lung Carcinoma,C0007131
NCT01067794,NULL,
NCT03353675,Non-Small Cell Lung Cancer,C0007131
NCT02045446,Non Small Cell Lung Cancer,C0007131
NCT03304093,NULL,
NCT00703638,NULL,
NCT02980991,Adenocarcinoma,C0001418
NCT01951586,Non-small Cell Lung Cancer,C0007131
NCT00005636,Malignant Mesothelioma,C0345967
NCT02308020,Adenocarcinoma,C0001418
NCT02308020,Non small Cell Lung Cancer,C0007131
NCT02308020,Melanoma,C0025202
NCT03922997,Non Small Cell Lung Cancer,C0007131
NCT02848651,Non Small Cell Lung Cancer,C0007131
NCT02008227,Non Small Cell Lung Cancer,C0007131
NCT02031458,Non Small Cell Lung Cancer,C0007131
NCT01903993,Non Small Cell Lung Cancer,C0007131
NCT04636762,Small Cell Lung Cancer,C0149925
NCT03014648,Non small Cell Lung Cancer,C0007131
NCT03559647,Non Small Cell Lung Cancer,C0007131
NCT01846416,Non Small Cell Lung Cancer,C0007131
NCT02994576,Non-small Cell Lung Cancer,C0007131
NCT03801304,Non small Cell Lung Cancer,C0007131
NCT02763579,Small Cell Lung Cancer,C0149925
NCT03438318,Non Small Cell Lung Cancer,C0007131
NCT05055999,Small Cell Lung Cancer,C0149925
NCT05055908,Small Cell Lung Cancer,C0149925
NCT05055947,Small Cell Lung Cancer,C0149925
NCT04028050,Small Cell Lung Cancer,C0149925
NCT03023423,Non Small Cell Lung Cancer,C0007131
NCT02463994,Non-Small Cell Lung Cancer,C0007131
NCT04059887,NULL,
NCT03645330,Non-Small Cell Lung Cancer,C0007131
NCT04426825,Adenocarcinoma,C0001418
NCT03059667,NULL,
NCT03285763,Non small Cell Lung Cancer,C0007131
NCT04920981,Small Cell Lung Cancer,C0149925
NCT02813785,Non Small Cell Lung Cancer,C0007131
NCT06049966,Large Cell Neuroendocrine Carcinoma,C1265996
NCT03321695,Non Small Cell Lung Cancer,C0007131
NCT03790397,Non Small Cell Lung Cancer,C0007131
NCT03911219,Non-Small Cell Lung Cancer,C0007131
NCT03911219,Small Cell Lung Cancer,C0149925
NCT03911219,Triple-Negative Breast Cancer,C4722518
NCT02825940,NULL,
NCT02666105,NULL,
NCT02174172,NULL,
NCT03526887,Non-Small Cell Lung Cancer,C0007131
NCT03232593,NULL,
NCT03926260,NULL,
